id,manglish,malayalam,english
2562,nammal schoolilu varunnuu,നാം സ്കൂളിൽ വരുന്നു,we is coming at school
2563,ni schoolilu pokoonnoo,നീ സ്കൂളിൽ പോകുന്നു,you is going at school
2564,nammalu schoolil padeekkunnu,നാം സ്കൂളിൽ പഠിക്കുന്നു,we is studying at school
2565,avan vittil kazhikkunnu,അവൻ വീട്ടിൽ കഴിക്കുന്നു,he is eating at home
2566,njan officeilu varunnuu,ഞാൻ ഓഫീസിൽ വരുന്നു,I is coming at office
2567,nee pusthakamu padikkunnu,നീ പുസ്തകം പഠിക്കുന്നു,you is studying book
2568,nee offeeceeel padikkunnu,നീ ഓഫീസിൽ പഠിക്കുന്നു,you is studying at office
2569,ni schooleel pokunnuu,നീ സ്കൂളിൽ പോകുന്നു,you is going at school
2570,njan schoolilu pokoonnoo,ഞാൻ സ്കൂളിൽ പോകുന്നു,I is going at school
2571,njan schulil kazheekkunnu,ഞാൻ സ്കൂളിൽ കഴിക്കുന്നു,I is eating at school
2572,ni chaaya padikkoonnoo,നീ ചായ പഠിക്കുന്നു,you is studying tea
2573,nammalu kazhikkoonnoo undo,നാം കഴിക്കുന്നു ഉണ്ടോ,is we eating?
2574,nee schoolilu kazhikkunnuu,നീ സ്കൂളിൽ കഴിക്കുന്നു,you is eating at school
2575,njan veettilu padeekkunnu,ഞാൻ വീട്ടിൽ പഠിക്കുന്നു,I is studying at home
2576,avalu padikkunnuu undo,അവൾ പഠിക്കുന്നു ഉണ്ടോ,is she studying?
2577,nammalu veettil pokunnuu,നാം വീട്ടിൽ പോകുന്നു,we is going at home
2578,nee schulil kazhikkunnuu,നീ സ്കൂളിൽ കഴിക്കുന്നു,you is eating at school
2579,avanu coffeeu panee cheyyunnu,അവൻ കാപ്പി ജോലി ചെയ്യുന്നു,he is working coffee
2580,avan officeilu padikkunnuu,അവൻ ഓഫീസിൽ പഠിക്കുന്നു,he is studying at office
2581,nee veetteel urangunnuu,നീ വീട്ടിൽ ഉറങ്ങുന്നു,you is sleeping at home
2582,nee vittil pokoonnoo,നീ വീട്ടിൽ പോകുന്നു,you is going at home
2583,nee officeilu pani cheyyoonnoo,നീ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,you is working at office
2584,nammalu coffee pani cheyyoonnoo,നാം കാപ്പി ജോലി ചെയ്യുന്നു,we is working coffee
2585,avalu coffee pani cheyyoonnoo,അവൾ കാപ്പി ജോലി ചെയ്യുന്നു,she is working coffee
2586,nammal chaya padikkunnuu,നാം ചായ പഠിക്കുന്നു,we is studying tea
2587,nammalu vellam padikkoonnoo,നാം വെള്ളം പഠിക്കുന്നു,we is studying water
2588,nammal officeilu pani cheyyunnuu,നാം ഓഫീസിൽ ജോലി ചെയ്യുന്നു,we is working at office
2589,ni coffee varunnuu,നീ കാപ്പി വരുന്നു,you is coming coffee
2590,avan schulil urangunnuu,അവൻ സ്കൂളിൽ ഉറങ്ങുന്നു,he is sleeping at school
2591,nammal vittil pani cheyyoonnoo,നാം വീട്ടിൽ ജോലി ചെയ്യുന്നു,we is working at home
2592,nammalu chaaya kazhikkunnu,നാം ചായ കഴിക്കുന്നു,we is eating tea
2593,nammal chaaya pani cheyyoonnoo,നാം ചായ ജോലി ചെയ്യുന്നു,we is working tea
2594,nammal coffee kazheekkunnu,നാം കാപ്പി കഴിക്കുന്നു,we is eating coffee
2595,ni officeil padeekkunnu,നീ ഓഫീസിൽ പഠിക്കുന്നു,you is studying at office
2596,aval coffeeu varunnuu,അവൾ കാപ്പി വരുന്നു,she is coming coffee
2597,njan veettil pani cheyyunnuu,ഞാൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,I is working at home
2598,avalu vellam pokunnuu,അവൾ വെള്ളം പോകുന്നു,she is going water
2599,njanu pusthakam varoonnoo,ഞാൻ പുസ്തകം വരുന്നു,I is coming book
2600,avalu schooleel pokunnu,അവൾ സ്കൂളിൽ പോകുന്നു,she is going at school
2601,nammalu vittil pani cheyyunnu,നാം വീട്ടിൽ ജോലി ചെയ്യുന്നു,we is working at home
2602,avan schulil pokoonnoo,അവൻ സ്കൂളിൽ പോകുന്നു,he is going at school
2603,njan schoolilu kazhikkunnuu,ഞാൻ സ്കൂളിൽ കഴിക്കുന്നു,I is eating at school
2604,nammal vellamu padikkunnu,നാം വെള്ളം പഠിക്കുന്നു,we is studying water
2605,nee chaya padikkunnuu,നീ ചായ പഠിക്കുന്നു,you is studying tea
2606,nammalu officeil varunnuu,നാം ഓഫീസിൽ വരുന്നു,we is coming at office
2607,avalu offeeceeel pokunnu,അവൾ ഓഫീസിൽ പോകുന്നു,she is going at office
2608,nammal pusthakam kazheekkunnu,നാം പുസ്തകം കഴിക്കുന്നു,we is eating book
2609,avan pusthakamu kazheekkunnu,അവൻ പുസ്തകം കഴിക്കുന്നു,he is eating book
2610,njanu poosthakam oorangoonnoo,ഞാൻ പുസ്തകം ഉറങ്ങുന്നു,I is sleeping book
2611,nammalu vellamu padikkunnu,നാം വെള്ളം പഠിക്കുന്നു,we is studying water
2612,aval officeil kazhikkunnuu,അവൾ ഓഫീസിൽ കഴിക്കുന്നു,she is eating at office
2613,nammalu vellam padikkunnuu,നാം വെള്ളം പഠിക്കുന്നു,we is studying water
2614,aval officeil panee cheyyunnu,അവൾ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,she is working at office
2615,nammal vittil kazheekkunnu,നാം വീട്ടിൽ കഴിക്കുന്നു,we is eating at home
2616,avan chaayau pani cheyyunnuu,അവൻ ചായ ജോലി ചെയ്യുന്നു,he is working tea
2617,nammal coffi kazhikkunnuu,നാം കാപ്പി കഴിക്കുന്നു,we is eating coffee
2618,nee vellam kazheekkunnu,നീ വെള്ളം കഴിക്കുന്നു,you is eating water
2619,nee pusthakamu panee cheyyunnu,നീ പുസ്തകം ജോലി ചെയ്യുന്നു,you is working book
2620,avanu schoolil padeekkunnu,അവൻ സ്കൂളിൽ പഠിക്കുന്നു,he is studying at school
2621,neeu veettilu pokoonnoo,നീ വീട്ടിൽ പോകുന്നു,you is going at home
2622,aval pusthakam urangunnuu,അവൾ പുസ്തകം ഉറങ്ങുന്നു,she is sleeping book
2623,ni coffee urangunnuu,നീ കാപ്പി ഉറങ്ങുന്നു,you is sleeping coffee
2624,nammalu coffeeu kazhikkunnuu,നാം കാപ്പി കഴിക്കുന്നു,we is eating coffee
2625,avan officeilu urangunnuu,അവൻ ഓഫീസിൽ ഉറങ്ങുന്നു,he is sleeping at office
2626,avan officeilu oorangoonnoo,അവൻ ഓഫീസിൽ ഉറങ്ങുന്നു,he is sleeping at office
2627,avan pusthakam kazhikkunnuu,അവൻ പുസ്തകം കഴിക്കുന്നു,he is eating book
2628,neeu officeilu varunnu,നീ ഓഫീസിൽ വരുന്നു,you is coming at office
2629,ni officeil varoonnoo,നീ ഓഫീസിൽ വരുന്നു,you is coming at office
2630,nammalu schoolil kazhikkunnuu,നാം സ്കൂളിൽ കഴിക്കുന്നു,we is eating at school
2631,avalu kazhikkunnuu undo,അവൾ കഴിക്കുന്നു ഉണ്ടോ,is she eating?
2632,ni veettil urangunnu,നീ വീട്ടിൽ ഉറങ്ങുന്നു,you is sleeping at home
2633,nammal poosthakam kazhikkunnuu,നാം പുസ്തകം കഴിക്കുന്നു,we is eating book
2634,avanu schooleel kazheekkunnu,അവൻ സ്കൂളിൽ കഴിക്കുന്നു,he is eating at school
2635,njan pusthakamu kazhikkoonnoo,ഞാൻ പുസ്തകം കഴിക്കുന്നു,I is eating book
2636,njanu schulil varunnu,ഞാൻ സ്കൂളിൽ വരുന്നു,I is coming at school
2637,neeu coffeeu urangunnu,നീ കാപ്പി ഉറങ്ങുന്നു,you is sleeping coffee
2638,aval officeilu padeekkunnu,അവൾ ഓഫീസിൽ പഠിക്കുന്നു,she is studying at office
2639,avanu veettilu kazheekkunnu,അവൻ വീട്ടിൽ കഴിക്കുന്നു,he is eating at home
2640,avanu panee cheyyunnu undo,അവൻ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is he working?
2641,nee coffeeu padeekkunnu,നീ കാപ്പി പഠിക്കുന്നു,you is studying coffee
2642,nammalu coffee pokunnuu,നാം കാപ്പി പോകുന്നു,we is going coffee
2643,njan coffi urangunnu,ഞാൻ കാപ്പി ഉറങ്ങുന്നു,I is sleeping coffee
2644,avan chaayau pokoonnoo,അവൻ ചായ പോകുന്നു,he is going tea
2645,avalu officeil panee cheyyunnu,അവൾ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,she is working at office
2646,njanu pusthakamu pani cheyyunnu,ഞാൻ പുസ്തകം ജോലി ചെയ്യുന്നു,I is working book
2647,avalu schoolilu pani cheyyoonnoo,അവൾ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,she is working at school
2648,aval veettilu pokoonnoo,അവൾ വീട്ടിൽ പോകുന്നു,she is going at home
2649,njanu chaaya padeekkunnu,ഞാൻ ചായ പഠിക്കുന്നു,I is studying tea
2650,nee veettilu kazhikkunnu,നീ വീട്ടിൽ കഴിക്കുന്നു,you is eating at home
2651,nammalu pusthakam padeekkunnu,നാം പുസ്തകം പഠിക്കുന്നു,we is studying book
2652,njanu coffi pani cheyyunnuu,ഞാൻ കാപ്പി ജോലി ചെയ്യുന്നു,I is working coffee
2653,njanu coffee padikkunnuu,ഞാൻ കാപ്പി പഠിക്കുന്നു,I is studying coffee
2654,ni chaya urangunnu,നീ ചായ ഉറങ്ങുന്നു,you is sleeping tea
2655,nammalu chaayau kazhikkunnu,നാം ചായ കഴിക്കുന്നു,we is eating tea
2656,njanu chaayau padikkunnuu,ഞാൻ ചായ പഠിക്കുന്നു,I is studying tea
2657,nammalu chaayau varunnu,നാം ചായ വരുന്നു,we is coming tea
2658,aval vittil oorangoonnoo,അവൾ വീട്ടിൽ ഉറങ്ങുന്നു,she is sleeping at home
2659,nammalu vittil urangunnu,നാം വീട്ടിൽ ഉറങ്ങുന്നു,we is sleeping at home
2660,nee coffi padikkoonnoo,നീ കാപ്പി പഠിക്കുന്നു,you is studying coffee
2661,njan chaya padeekkunnu,ഞാൻ ചായ പഠിക്കുന്നു,I is studying tea
2662,nammal schooleel pokoonnoo,നാം സ്കൂളിൽ പോകുന്നു,we is going at school
2663,njan veettilu pokoonnoo,ഞാൻ വീട്ടിൽ പോകുന്നു,I is going at home
2664,njan chaaya varunnuu,ഞാൻ ചായ വരുന്നു,I is coming tea
2665,nammal schooleel panee cheyyunnu,നാം സ്കൂളിൽ ജോലി ചെയ്യുന്നു,we is working at school
2666,avan schoolilu padeekkunnu,അവൻ സ്കൂളിൽ പഠിക്കുന്നു,he is studying at school
2667,avan schoolilu pokunnuu,അവൻ സ്കൂളിൽ പോകുന്നു,he is going at school
2668,njanu chaya varoonnoo,ഞാൻ ചായ വരുന്നു,I is coming tea
2669,neeu coffee padikkunnu,നീ കാപ്പി പഠിക്കുന്നു,you is studying coffee
2670,nee poosthakam kazhikkunnu,നീ പുസ്തകം കഴിക്കുന്നു,you is eating book
2671,nammal schulil panee cheyyunnu,നാം സ്കൂളിൽ ജോലി ചെയ്യുന്നു,we is working at school
2672,nee chaaya kazhikkunnuu,നീ ചായ കഴിക്കുന്നു,you is eating tea
2673,avan veettilu pokoonnoo,അവൻ വീട്ടിൽ പോകുന്നു,he is going at home
2674,avan coffi panee cheyyunnu,അവൻ കാപ്പി ജോലി ചെയ്യുന്നു,he is working coffee
2675,nammalu officeilu varoonnoo,നാം ഓഫീസിൽ വരുന്നു,we is coming at office
2676,neeu veetteel kazhikkunnu,നീ വീട്ടിൽ കഴിക്കുന്നു,you is eating at home
2677,avalu coffee varoonnoo,അവൾ കാപ്പി വരുന്നു,she is coming coffee
2678,avan coffeeu padikkunnuu,അവൻ കാപ്പി പഠിക്കുന്നു,he is studying coffee
2679,njanu chaya varunnu,ഞാൻ ചായ വരുന്നു,I is coming tea
2680,nammal chaayau pokunnuu,നാം ചായ പോകുന്നു,we is going tea
2681,njanu schoolilu padeekkunnu,ഞാൻ സ്കൂളിൽ പഠിക്കുന്നു,I is studying at school
2682,avan coffeeu pani cheyyunnu,അവൻ കാപ്പി ജോലി ചെയ്യുന്നു,he is working coffee
2683,njan veetteel varunnuu,ഞാൻ വീട്ടിൽ വരുന്നു,I is coming at home
2684,ni poosthakam varunnu,നീ പുസ്തകം വരുന്നു,you is coming book
2685,nee schooleel pani cheyyunnu,നീ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,you is working at school
2686,avalu vittil oorangoonnoo,അവൾ വീട്ടിൽ ഉറങ്ങുന്നു,she is sleeping at home
2687,neeu officeilu padikkunnu,നീ ഓഫീസിൽ പഠിക്കുന്നു,you is studying at office
2688,nee officeil kazhikkunnuu,നീ ഓഫീസിൽ കഴിക്കുന്നു,you is eating at office
2689,nee veetteel padikkunnuu,നീ വീട്ടിൽ പഠിക്കുന്നു,you is studying at home
2690,avalu chaaya kazhikkunnuu,അവൾ ചായ കഴിക്കുന്നു,she is eating tea
2691,nee coffi panee cheyyunnu,നീ കാപ്പി ജോലി ചെയ്യുന്നു,you is working coffee
2692,aval offeeceeel padikkunnu,അവൾ ഓഫീസിൽ പഠിക്കുന്നു,she is studying at office
2693,nee pusthakamu padeekkunnu,നീ പുസ്തകം പഠിക്കുന്നു,you is studying book
2694,neeu panee cheyyunnu undo,നീ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is you working?
2695,avan schulil pani cheyyunnuu,അവൻ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,he is working at school
2696,nee chaaya kazhikkoonnoo,നീ ചായ കഴിക്കുന്നു,you is eating tea
2697,avan schooleel pani cheyyunnuu,അവൻ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,he is working at school
2698,nee schulil panee cheyyunnu,നീ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,you is working at school
2699,nammal offeeceeel padikkoonnoo,നാം ഓഫീസിൽ പഠിക്കുന്നു,we is studying at office
2700,nammal officeilu oorangoonnoo,നാം ഓഫീസിൽ ഉറങ്ങുന്നു,we is sleeping at office
2701,avalu veettil panee cheyyunnu,അവൾ വീട്ടിൽ ജോലി ചെയ്യുന്നു,she is working at home
2702,neeu coffee pani cheyyunnuu,നീ കാപ്പി ജോലി ചെയ്യുന്നു,you is working coffee
2703,avanu veettil varoonnoo,അവൻ വീട്ടിൽ വരുന്നു,he is coming at home
2704,ni schooleel pokoonnoo,നീ സ്കൂളിൽ പോകുന്നു,you is going at school
2705,aval chaayau pani cheyyunnu,അവൾ ചായ ജോലി ചെയ്യുന്നു,she is working tea
2706,njanu vellamu pokunnu,ഞാൻ വെള്ളം പോകുന്നു,I is going water
2707,njanu officeilu pani cheyyoonnoo,ഞാൻ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,I is working at office
2708,nammalu coffee varunnu,നാം കാപ്പി വരുന്നു,we is coming coffee
2709,nammal schoolil padeekkunnu,നാം സ്കൂളിൽ പഠിക്കുന്നു,we is studying at school
2710,nammal veetteel padikkunnuu,നാം വീട്ടിൽ പഠിക്കുന്നു,we is studying at home
2711,njan chaya pani cheyyoonnoo,ഞാൻ ചായ ജോലി ചെയ്യുന്നു,I is working tea
2712,avanu veetteel pokoonnoo,അവൻ വീട്ടിൽ പോകുന്നു,he is going at home
2713,nammal schooleel padikkoonnoo,നാം സ്കൂളിൽ പഠിക്കുന്നു,we is studying at school
2714,nammal pusthakamu padeekkunnu,നാം പുസ്തകം പഠിക്കുന്നു,we is studying book
2715,nammalu pusthakam padikkunnuu,നാം പുസ്തകം പഠിക്കുന്നു,we is studying book
2716,avalu schoolil pokunnuu,അവൾ സ്കൂളിൽ പോകുന്നു,she is going at school
2717,neeu offeeceeel pani cheyyunnu,നീ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,you is working at office
2718,avan coffi pani cheyyoonnoo,അവൻ കാപ്പി ജോലി ചെയ്യുന്നു,he is working coffee
2719,nammal schulil oorangoonnoo,നാം സ്കൂളിൽ ഉറങ്ങുന്നു,we is sleeping at school
2720,nammal schoolilu kazhikkunnuu,നാം സ്കൂളിൽ കഴിക്കുന്നു,we is eating at school
2721,avalu coffi pani cheyyoonnoo,അവൾ കാപ്പി ജോലി ചെയ്യുന്നു,she is working coffee
2722,njan chaaya kazhikkunnuu,ഞാൻ ചായ കഴിക്കുന്നു,I is eating tea
2723,nammalu schoolilu kazhikkoonnoo,നാം സ്കൂളിൽ കഴിക്കുന്നു,we is eating at school
2724,njan chaya panee cheyyunnu,ഞാൻ ചായ ജോലി ചെയ്യുന്നു,I is working tea
2725,ni chaaya pani cheyyunnuu,നീ ചായ ജോലി ചെയ്യുന്നു,you is working tea
2726,njanu schooleel urangunnu,ഞാൻ സ്കൂളിൽ ഉറങ്ങുന്നു,I is sleeping at school
2727,njanu schooleel varunnu,ഞാൻ സ്കൂളിൽ വരുന്നു,I is coming at school
2728,nee vittil urangunnu,നീ വീട്ടിൽ ഉറങ്ങുന്നു,you is sleeping at home
2729,nammal veettilu padikkunnuu,നാം വീട്ടിൽ പഠിക്കുന്നു,we is studying at home
2730,njanu coffeeu pokunnu,ഞാൻ കാപ്പി പോകുന്നു,I is going coffee
2731,aval coffee panee cheyyunnu,അവൾ കാപ്പി ജോലി ചെയ്യുന്നു,she is working coffee
2732,neeu poosthakam padikkunnu,നീ പുസ്തകം പഠിക്കുന്നു,you is studying book
2733,avalu vellamu kazhikkoonnoo,അവൾ വെള്ളം കഴിക്കുന്നു,she is eating water
2734,aval schoolilu pani cheyyunnuu,അവൾ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,she is working at school
2735,nammalu offeeceeel pokunnuu,നാം ഓഫീസിൽ പോകുന്നു,we is going at office
2736,avanu chaaya varunnuu,അവൻ ചായ വരുന്നു,he is coming tea
2737,njan chaya varunnuu,ഞാൻ ചായ വരുന്നു,I is coming tea
2738,ni schulil pokunnu,നീ സ്കൂളിൽ പോകുന്നു,you is going at school
2739,neeu chaya varunnu,നീ ചായ വരുന്നു,you is coming tea
2740,nammal coffee kazhikkoonnoo,നാം കാപ്പി കഴിക്കുന്നു,we is eating coffee
2741,avalu coffi oorangoonnoo,അവൾ കാപ്പി ഉറങ്ങുന്നു,she is sleeping coffee
2742,avan veettilu kazhikkoonnoo,അവൻ വീട്ടിൽ കഴിക്കുന്നു,he is eating at home
2743,nee pusthakamu padikkoonnoo,നീ പുസ്തകം പഠിക്കുന്നു,you is studying book
2744,nammal officeilu kazheekkunnu,നാം ഓഫീസിൽ കഴിക്കുന്നു,we is eating at office
2745,ni coffee varoonnoo,നീ കാപ്പി വരുന്നു,you is coming coffee
2746,nammal schooleel varoonnoo,നാം സ്കൂളിൽ വരുന്നു,we is coming at school
2747,avan schulil pani cheyyoonnoo,അവൻ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,he is working at school
2748,njanu officeil urangunnu,ഞാൻ ഓഫീസിൽ ഉറങ്ങുന്നു,I is sleeping at office
2749,nammalu coffi pokunnuu,നാം കാപ്പി പോകുന്നു,we is going coffee
2750,aval officeilu urangunnuu,അവൾ ഓഫീസിൽ ഉറങ്ങുന്നു,she is sleeping at office
2751,neeu vellamu kazheekkunnu,നീ വെള്ളം കഴിക്കുന്നു,you is eating water
2752,avanu schoolilu varunnuu,അവൻ സ്കൂളിൽ വരുന്നു,he is coming at school
2753,nammalu chaayau padikkunnu,നാം ചായ പഠിക്കുന്നു,we is studying tea
2754,avanu pusthakam padikkunnu,അവൻ പുസ്തകം പഠിക്കുന്നു,he is studying book
2755,nammalu pusthakamu padeekkunnu,നാം പുസ്തകം പഠിക്കുന്നു,we is studying book
2756,avan veetteel panee cheyyunnu,അവൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,he is working at home
2757,neeu schoolil kazheekkunnu,നീ സ്കൂളിൽ കഴിക്കുന്നു,you is eating at school
2758,njan offeeceeel pokunnuu,ഞാൻ ഓഫീസിൽ പോകുന്നു,I is going at office
2759,avan veettilu pokunnuu,അവൻ വീട്ടിൽ പോകുന്നു,he is going at home
2760,aval offeeceeel pani cheyyoonnoo,അവൾ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,she is working at office
2761,ni pusthakam oorangoonnoo,നീ പുസ്തകം ഉറങ്ങുന്നു,you is sleeping book
2762,nammal offeeceeel padeekkunnu,നാം ഓഫീസിൽ പഠിക്കുന്നു,we is studying at office
2763,ni schooleel panee cheyyunnu,നീ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,you is working at school
2764,neeu chaayau varunnu,നീ ചായ വരുന്നു,you is coming tea
2765,njanu veettil pokunnuu,ഞാൻ വീട്ടിൽ പോകുന്നു,I is going at home
2766,neeu vellam padikkoonnoo,നീ വെള്ളം പഠിക്കുന്നു,you is studying water
2767,njanu officeilu varunnuu,ഞാൻ ഓഫീസിൽ വരുന്നു,I is coming at office
2768,avanu veetteel urangunnu,അവൻ വീട്ടിൽ ഉറങ്ങുന്നു,he is sleeping at home
2769,neeu veettil kazhikkunnuu,നീ വീട്ടിൽ കഴിക്കുന്നു,you is eating at home
2770,avanu officeil pokunnuu,അവൻ ഓഫീസിൽ പോകുന്നു,he is going at office
2771,nammal coffeeu urangunnuu,നാം കാപ്പി ഉറങ്ങുന്നു,we is sleeping coffee
2772,avanu pusthakamu urangunnuu,അവൻ പുസ്തകം ഉറങ്ങുന്നു,he is sleeping book
2773,aval schulil padeekkunnu,അവൾ സ്കൂളിൽ പഠിക്കുന്നു,she is studying at school
2774,avan coffeeu oorangoonnoo,അവൻ കാപ്പി ഉറങ്ങുന്നു,he is sleeping coffee
2775,njanu vittil kazheekkunnu,ഞാൻ വീട്ടിൽ കഴിക്കുന്നു,I is eating at home
2776,nammalu officeil pani cheyyunnuu,നാം ഓഫീസിൽ ജോലി ചെയ്യുന്നു,we is working at office
2777,avan poosthakam kazhikkunnuu,അവൻ പുസ്തകം കഴിക്കുന്നു,he is eating book
2778,nammal pusthakamu oorangoonnoo,നാം പുസ്തകം ഉറങ്ങുന്നു,we is sleeping book
2779,avan schooleel padeekkunnu,അവൻ സ്കൂളിൽ പഠിക്കുന്നു,he is studying at school
2780,ni coffee pokunnuu,നീ കാപ്പി പോകുന്നു,you is going coffee
2781,nee veettilu padeekkunnu,നീ വീട്ടിൽ പഠിക്കുന്നു,you is studying at home
2782,avalu officeilu padikkoonnoo,അവൾ ഓഫീസിൽ പഠിക്കുന്നു,she is studying at office
2783,avalu veetteel urangunnu,അവൾ വീട്ടിൽ ഉറങ്ങുന്നു,she is sleeping at home
2784,aval poosthakam kazhikkunnuu,അവൾ പുസ്തകം കഴിക്കുന്നു,she is eating book
2785,avan veettilu padikkoonnoo,അവൻ വീട്ടിൽ പഠിക്കുന്നു,he is studying at home
2786,nammalu veettil pani cheyyunnuu,നാം വീട്ടിൽ ജോലി ചെയ്യുന്നു,we is working at home
2787,nammal schulil pokunnu,നാം സ്കൂളിൽ പോകുന്നു,we is going at school
2788,avalu schoolil panee cheyyunnu,അവൾ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,she is working at school
2789,nee coffeeu pani cheyyoonnoo,നീ കാപ്പി ജോലി ചെയ്യുന്നു,you is working coffee
2790,nee schooleel padikkunnu,നീ സ്കൂളിൽ പഠിക്കുന്നു,you is studying at school
2791,njan offeeceeel pokoonnoo,ഞാൻ ഓഫീസിൽ പോകുന്നു,I is going at office
2792,ni poosthakam padikkunnu,നീ പുസ്തകം പഠിക്കുന്നു,you is studying book
2793,njan coffi pani cheyyunnuu,ഞാൻ കാപ്പി ജോലി ചെയ്യുന്നു,I is working coffee
2794,nammal chaayau pani cheyyunnuu,നാം ചായ ജോലി ചെയ്യുന്നു,we is working tea
2795,aval veetteel urangunnuu,അവൾ വീട്ടിൽ ഉറങ്ങുന്നു,she is sleeping at home
2796,avalu officeilu varunnu,അവൾ ഓഫീസിൽ വരുന്നു,she is coming at office
2797,avalu officeil pani cheyyunnu,അവൾ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,she is working at office
2798,njan schoolilu varoonnoo,ഞാൻ സ്കൂളിൽ വരുന്നു,I is coming at school
2799,njanu chaya padikkoonnoo,ഞാൻ ചായ പഠിക്കുന്നു,I is studying tea
2800,njanu schoolilu kazheekkunnu,ഞാൻ സ്കൂളിൽ കഴിക്കുന്നു,I is eating at school
2801,ni veettilu urangunnu,നീ വീട്ടിൽ ഉറങ്ങുന്നു,you is sleeping at home
2802,avan chaayau padikkoonnoo,അവൻ ചായ പഠിക്കുന്നു,he is studying tea
2803,avan schulil padeekkunnu,അവൻ സ്കൂളിൽ പഠിക്കുന്നു,he is studying at school
2804,ni vittil pani cheyyunnu,നീ വീട്ടിൽ ജോലി ചെയ്യുന്നു,you is working at home
2805,aval coffi oorangoonnoo,അവൾ കാപ്പി ഉറങ്ങുന്നു,she is sleeping coffee
2806,njan offeeceeel kazheekkunnu,ഞാൻ ഓഫീസിൽ കഴിക്കുന്നു,I is eating at office
2807,njanu pusthakam pokunnu,ഞാൻ പുസ്തകം പോകുന്നു,I is going book
2808,ni pusthakam urangunnuu,നീ പുസ്തകം ഉറങ്ങുന്നു,you is sleeping book
2809,njan veettilu pani cheyyunnuu,ഞാൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,I is working at home
2810,avalu pusthakam varunnuu,അവൾ പുസ്തകം വരുന്നു,she is coming book
2811,njanu schoolil oorangoonnoo,ഞാൻ സ്കൂളിൽ ഉറങ്ങുന്നു,I is sleeping at school
2812,neeu coffee varunnu,നീ കാപ്പി വരുന്നു,you is coming coffee
2813,njanu chaaya padikkunnuu,ഞാൻ ചായ പഠിക്കുന്നു,I is studying tea
2814,avanu vittil pokunnuu,അവൻ വീട്ടിൽ പോകുന്നു,he is going at home
2815,avalu vittil padikkunnu,അവൾ വീട്ടിൽ പഠിക്കുന്നു,she is studying at home
2816,njan coffi oorangoonnoo,ഞാൻ കാപ്പി ഉറങ്ങുന്നു,I is sleeping coffee
2817,avalu schoolil pokoonnoo,അവൾ സ്കൂളിൽ പോകുന്നു,she is going at school
2818,nammalu coffee pokoonnoo,നാം കാപ്പി പോകുന്നു,we is going coffee
2819,njanu schoolil padikkunnu,ഞാൻ സ്കൂളിൽ പഠിക്കുന്നു,I is studying at school
2820,ni schoolil urangunnuu,നീ സ്കൂളിൽ ഉറങ്ങുന്നു,you is sleeping at school
2821,avan poosthakam kazhikkunnu,അവൻ പുസ്തകം കഴിക്കുന്നു,he is eating book
2822,nammal veettilu pokoonnoo,നാം വീട്ടിൽ പോകുന്നു,we is going at home
2823,aval veettilu pokunnuu,അവൾ വീട്ടിൽ പോകുന്നു,she is going at home
2824,nammalu schoolilu pani cheyyoonnoo,നാം സ്കൂളിൽ ജോലി ചെയ്യുന്നു,we is working at school
2825,njan chaya oorangoonnoo,ഞാൻ ചായ ഉറങ്ങുന്നു,I is sleeping tea
2826,avan coffeeu kazhikkoonnoo,അവൻ കാപ്പി കഴിക്കുന്നു,he is eating coffee
2827,njan schoolilu oorangoonnoo,ഞാൻ സ്കൂളിൽ ഉറങ്ങുന്നു,I is sleeping at school
2828,avanu officeilu pani cheyyunnu,അവൻ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,he is working at office
2829,njanu vellam pani cheyyunnuu,ഞാൻ വെള്ളം ജോലി ചെയ്യുന്നു,I is working water
2830,avalu vellam pani cheyyoonnoo,അവൾ വെള്ളം ജോലി ചെയ്യുന്നു,she is working water
2831,avan officeilu pokoonnoo,അവൻ ഓഫീസിൽ പോകുന്നു,he is going at office
2832,avalu vittil pokunnu,അവൾ വീട്ടിൽ പോകുന്നു,she is going at home
2833,avalu poosthakam kazhikkoonnoo,അവൾ പുസ്തകം കഴിക്കുന്നു,she is eating book
